2022-03-12 23:37:46,107 DEBUG:asyncio: Using selector: EpollSelector
2022-03-12 23:42:53,727 INFO:easy: J:human,T:1 :: got response 200 from https://thispersondoesnotexist.com/
2022-03-12 23:42:53,727 INFO:easy: J:human,T:1 :: started downloading object
2022-03-12 23:42:54,926 INFO:easy: J:cat,T:0 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:42:55,219 INFO:easy: J:cat,T:0 :: got response 200 from https://thiscatdoesnotexist.com/
2022-03-12 23:42:55,219 INFO:easy: J:cat,T:0 :: started downloading object
2022-03-12 23:42:55,426 INFO:easy: J:horse,T:2 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:55,638 INFO:easy: J:horse,T:5 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:55,649 INFO:easy: J:horse,T:4 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:55,728 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:42:55,771 INFO:easy: J:horse,T:2 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:55,771 INFO:easy: J:horse,T:2 :: started downloading object
2022-03-12 23:42:55,836 INFO:easy: J:human,T:1 :: got response 200 from https://thispersondoesnotexist.com/
2022-03-12 23:42:55,836 INFO:easy: J:human,T:1 :: started downloading object
2022-03-12 23:42:55,888 INFO:easy: J:horse,T:2 :: found unique object, start wrinting to i
2022-03-12 23:42:55,889 INFO:easy: J:horse,T:2 :: finished writing object in artifacts/horses/horse-2.png
2022-03-12 23:42:55,944 INFO:easy: J:horse,T:5 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:55,944 INFO:easy: J:horse,T:5 :: started downloading object
2022-03-12 23:42:56,006 INFO:easy: J:horse,T:4 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:56,006 INFO:easy: J:horse,T:4 :: started downloading object
2022-03-12 23:42:56,166 INFO:easy: J:cat,T:0 :: found unique object, start wrinting to i
2022-03-12 23:42:56,167 INFO:easy: J:cat,T:0 :: finished writing object in artifacts/cats/cat-0.png
2022-03-12 23:42:56,173 INFO:easy: J:horse,T:5 :: found unique object, start wrinting to i
2022-03-12 23:42:56,174 INFO:easy: J:horse,T:5 :: finished writing object in artifacts/horses/horse-5.png
2022-03-12 23:42:57,844 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:42:57,944 INFO:easy: J:human,T:1 :: got response 200 from https://thispersondoesnotexist.com/
2022-03-12 23:42:57,944 INFO:easy: J:human,T:1 :: started downloading object
2022-03-12 23:42:58,261 INFO:easy: J:horse,T:4 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:58,439 INFO:easy: J:horse,T:4 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:58,439 INFO:easy: J:horse,T:4 :: started downloading object
2022-03-12 23:42:58,542 INFO:easy: J:horse,T:4 :: found unique object, start wrinting to i
2022-03-12 23:42:58,543 INFO:easy: J:horse,T:4 :: finished writing object in artifacts/horses/horse-4.png
2022-03-12 23:42:59,949 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:43:00,067 INFO:easy: J:human,T:1 :: got response 200 from https://thispersondoesnotexist.com/
2022-03-12 23:43:00,067 INFO:easy: J:human,T:1 :: started downloading object
2022-03-12 23:43:02,070 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:43:02,182 INFO:easy: J:human,T:1 :: got response 200 from https://thispersondoesnotexist.com/
2022-03-12 23:43:02,182 INFO:easy: J:human,T:1 :: started downloading object
2022-03-12 23:43:04,184 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:43:04,282 INFO:easy: J:human,T:1 :: got response 200 from https://thispersondoesnotexist.com/
